year,fertilizer_code,dry_matter,actual_yield,temperature,precipitation,solar_radiation,predicted_yield
1998,N2PKMg,28.5,13.53,286.30274155560664,414.8040142953396,15079114.039215686,14.549086
1998,N3PKMg,26.2,11.83,286.30274155560664,414.8040142953396,15079114.039215686,11.847625
1998,N4PKMg,24.4,13.31,286.30274155560664,414.8040142953396,15079114.039215686,13.27836
1998,N2,23.6,7.22,286.30274155560664,414.8040142953396,15079114.039215686,7.333267
1998,N2P,21.5,3.86,286.30274155560664,414.8040142953396,15079114.039215686,3.9229617
1998,N2PNa*,24.1,6.27,286.30274155560664,414.8040142953396,15079114.039215686,7.529701
1998,N2PK,23.9,10.46,286.30274155560664,414.8040142953396,15079114.039215686,10.494635
1998,N2PKMg*,20.7,8.22,286.30274155560664,414.8040142953396,15079114.039215686,8.167036
1998,N5PKMg,21.2,11.02,286.30274155560664,414.8040142953396,15079114.039215686,11.007764
1998,N6PKMg,20.2,11.13,286.30274155560664,414.8040142953396,15079114.039215686,11.10265
1998,N1+3 1/2[PKMg],22.4,11.28,286.30274155560664,414.8040142953396,15079114.039215686,11.247314
1998,N0+3 1/2[PKMg],21.0,11.08,286.30274155560664,414.8040142953396,15079114.039215686,10.943838
1998,(C) ,21.5,2.68,286.30274155560664,414.8040142953396,15079114.039215686,2.871699
1999,FYM N4 PK,30.1,20.15,286.77722826191024,428.73321255669,15839295.225490196,19.991331
1999,FYM N2,25.8,17.07,286.77722826191024,428.73321255669,15839295.225490196,11.248562
1999,FYM,28.4,14.73,286.77722826191024,428.73321255669,15839295.225490196,14.644404
1999,Nil,21.2,2.79,286.77722826191024,428.73321255669,15839295.225490196,2.6302645
1999,PKMg,20.4,1.94,286.77722826191024,428.73321255669,15839295.225490196,3.876088
1999,N1PKMg,23.1,5.65,286.77722826191024,428.73321255669,15839295.225490196,5.6573563
1999,N2PKMg,23.8,11.62,286.77722826191024,428.73321255669,15839295.225490196,11.489655
1999,N3PKMg,26.1,14.83,286.77722826191024,428.73321255669,15839295.225490196,12.115518
1999,N4PKMg,25.7,16.81,286.77722826191024,428.73321255669,15839295.225490196,11.918351
1999,N2,25.6,7.63,286.77722826191024,428.73321255669,15839295.225490196,7.615891
1999,N2P,26.1,7.25,286.77722826191024,428.73321255669,15839295.225490196,7.2633853
1999,N2PNa*,26.7,7.85,286.77722826191024,428.73321255669,15839295.225490196,7.966388
1999,N2PK,26.0,9.57,286.77722826191024,428.73321255669,15839295.225490196,9.718383
1999,N2PKMg*,28.9,9.98,286.77722826191024,428.73321255669,15839295.225490196,10.174311
1999,N5PKMg,30.7,16.3,286.77722826191024,428.73321255669,15839295.225490196,16.293491
1999,N6PKMg,26.8,14.28,286.77722826191024,428.73321255669,15839295.225490196,14.175605
1999,N0+3 1/2[PKMg],28.5,15.2,286.77722826191024,428.73321255669,15839295.225490196,15.153642
1999,N1+3 1/2[PKMg],29.6,15.68,286.77722826191024,428.73321255669,15839295.225490196,16.770937
1999,(C) ,23.8,3.1,286.77722826191024,428.73321255669,15839295.225490196,6.646803
2000,FYM N4 PK,24.9,12.8,286.3774262471916,404.8585812766105,15766376.38235294,12.734747
2000,FYM N2,24.0,10.34,286.3774262471916,404.8585812766105,15766376.38235294,10.107783
2000,FYM,23.2,9.7,286.3774262471916,404.8585812766105,15766376.38235294,9.7079735
